FID,sample_id,sample_date,indicator,value,unit,site,state,latitude,longitude,licence,authority,treatment,population,scale,description,location_type,GEOM
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61d1,19943,2015-02-28,pH,7.61,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61d0,19945,2015-04-30,pH,7.52,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61cf,19947,2015-06-30,pH,7.86,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61ce,19949,2015-08-31,pH,7.76,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61cd,19951,2015-10-31,pH,7.82,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61cc,19942,2015-01-31,pH,8,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61cb,19944,2015-03-31,pH,7.68,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61ca,19946,2015-05-31,pH,7.65,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61c9,19948,2015-07-31,pH,7.87,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61c8,19950,2015-09-30,pH,7.66,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61c7,19953,2015-12-31,pH,7.9,pH,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61c6,19955,2015-02-28,Total Suspended Solids,17.7,mg/L,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61c5,19957,2015-04-30,Total Suspended Solids,13.7,mg/L,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-61c4,19959,2015-06-30,Total Suspended Solids,14.2,mg/L,Alkimos,Western Australia,-31.6168,115.6243,L8434/2010/1,Water Corporation,Advanced secondary,"~80,000",20 ML/day,"Alkimos ocean outfall accommodates one wastewater treatment plant (Alkimos) and supports the area of Perth north-west suburbs. Approximately 20 ML of treated effluent is discharged daily into the Indian Ocean of 20 m depth, at a distance 3.7 km west of the shoreline, where it is rapidly diluted through a 300 m long diffuser.",Ocean,POINT (115.624254 -31.61679)
