ID,MAC_seagrass_ag,MAC_seagrass_bg,MAC_seagrass_fr,NCS_fs1,PHY_mpb
     1,0.0000,0.0000,0.0000,0.4000,20.0000
     2,0.0000,0.0000,0.0000,0.4000,20.0000
     3,0.0000,0.0000,0.0000,0.4000,20.0000
     4,0.0000,0.0000,0.0000,0.4000,20.0000
     5,0.0000,0.0000,0.0000,0.4000,20.0000
     6,0.0000,0.0000,0.0000,0.4000,20.0000
     7,0.0000,0.0000,0.0000,0.4000,20.0000
     8,0.0000,0.0000,0.0000,0.4000,20.0000
     9,0.0000,0.0000,0.0000,0.4000,20.0000
    10,0.0000,0.0000,0.0000,0.4000,20.0000
    11,0.0000,0.0000,0.0000,0.4000,20.0000
    12,0.0000,0.0000,0.0000,0.4000,20.0000
    13,0.0000,0.0000,0.0000,0.4000,20.0000
    14,0.0000,0.0000,0.0000,0.4000,20.0000
    15,0.0000,0.0000,0.0000,0.4000,20.0000
    16,0.0000,0.0000,0.0000,0.4000,20.0000
    17,0.0000,0.0000,0.0000,0.4000,20.0000
    18,0.0000,0.0000,0.0000,0.4000,20.0000
    19,0.0000,0.0000,0.0000,0.4000,20.0000
    20,0.0000,0.0000,0.0000,0.4000,20.0000
    21,0.0000,0.0000,0.0000,0.4000,20.0000
    22,0.0000,0.0000,0.0000,0.4000,20.0000
    23,0.0000,0.0000,0.0000,0.4000,20.0000
    24,0.0000,0.0000,0.0000,0.4000,20.0000
    25,0.0000,0.0000,0.0000,0.4000,20.0000
    26,0.0000,0.0000,0.0000,0.4000,20.0000
    27,0.0000,0.0000,0.0000,0.4000,20.0000
    28,0.0000,0.0000,0.0000,0.4000,20.0000
    29,0.0000,0.0000,0.0000,0.4000,20.0000
    30,0.0000,0.0000,0.0000,0.4000,20.0000
    31,0.0000,0.0000,0.0000,0.4000,20.0000
    32,0.0000,0.0000,0.0000,0.4000,20.0000
    33,0.0000,0.0000,0.0000,0.4000,20.0000
    34,0.0000,0.0000,0.0000,0.4000,20.0000
    35,0.0000,0.0000,0.0000,0.4000,20.0000
    36,0.0000,0.0000,0.0000,0.4000,20.0000
    37,0.0000,0.0000,0.0000,0.4000,20.0000
    38,17886.9235,17886.9235,0.0000,0.0000,20.0000
    39,0.0000,0.0000,0.0000,0.4000,20.0000
    40,0.0000,0.0000,0.0000,0.4000,20.0000
    41,0.0000,0.0000,0.0000,0.4000,20.0000
    42,0.0000,0.0000,0.0000,0.4000,20.0000
    43,0.0000,0.0000,0.0000,0.4000,20.0000
    44,0.0000,0.0000,0.0000,0.4000,20.0000
    45,0.0000,0.0000,0.0000,0.4000,20.0000
    46,0.0000,0.0000,0.0000,0.4000,20.0000
    47,0.0000,0.0000,0.0000,0.4000,20.0000
    48,17885.1560,17885.1560,0.0000,0.0000,20.0000
    49,17893.0617,17893.0617,0.0000,0.0000,20.0000
    50,0.0000,0.0000,0.0000,0.4000,20.0000
    51,0.0000,0.0000,0.0000,0.4000,20.0000
    52,0.0000,0.0000,0.0000,0.4000,20.0000
    53,0.0000,0.0000,0.0000,0.4000,20.0000
    54,0.0000,0.0000,0.0000,0.4000,20.0000
    55,0.0000,0.0000,0.0000,0.4000,20.0000
    56,0.0000,0.0000,0.0000,0.4000,20.0000
    57,0.0000,0.0000,0.0000,0.4000,20.0000
    58,0.0000,0.0000,0.0000,0.4000,20.0000
    59,17882.9666,17882.9666,0.0000,0.0000,20.0000
    60,0.0000,0.0000,0.0000,0.4000,20.0000
    61,17889.6339,17889.6339,0.0000,0.0000,20.0000
    62,17894.1128,17894.1128,0.0000,0.0000,20.0000
    63,17895.3801,17895.3801,0.0000,0.0000,20.0000
    64,0.0000,0.0000,0.0000,0.4000,20.0000
    65,0.0000,0.0000,0.0000,0.4000,20.0000
    66,0.0000,0.0000,0.0000,0.4000,20.0000
    67,0.0000,0.0000,0.0000,0.4000,20.0000
    68,0.0000,0.0000,0.0000,0.4000,20.0000
    69,0.0000,0.0000,0.0000,0.4000,20.0000
    70,0.0000,0.0000,0.0000,0.4000,20.0000
    71,0.0000,0.0000,0.0000,0.4000,20.0000
    72,0.0000,0.0000,0.0000,0.4000,20.0000
    73,17890.9106,17890.9106,0.0000,0.0000,20.0000
    74,17892.8947,17892.8947,0.0000,0.0000,20.0000
    75,0.0000,0.0000,0.0000,0.4000,20.0000
    76,17891.1856,17891.1856,0.0000,0.0000,20.0000
    77,17894.7808,17894.7808,0.0000,0.0000,20.0000
    78,17896.2152,17896.2152,0.0000,0.0000,20.0000
    79,17896.1562,17896.1562,0.0000,0.0000,20.0000
    80,0.0000,0.0000,0.0000,0.4000,20.0000
    81,0.0000,0.0000,0.0000,0.4000,20.0000
    82,0.0000,0.0000,0.0000,0.4000,20.0000
    83,0.0000,0.0000,0.0000,0.4000,20.0000
    84,0.0000,0.0000,0.0000,0.4000,20.0000
    85,0.0000,0.0000,0.0000,0.4000,20.0000
    86,0.0000,0.0000,0.0000,0.4000,20.0000
    87,0.0000,0.0000,0.0000,0.4000,20.0000
    88,0.0000,0.0000,0.0000,0.4000,20.0000
    89,0.0000,0.0000,0.0000,0.4000,20.0000
    90,0.0000,0.0000,0.0000,0.4000,20.0000
    91,0.0000,0.0000,0.0000,0.4000,20.0000
    92,17894.4468,17894.4468,0.0000,0.0000,20.0000
    93,17895.2917,17895.2917,0.0000,0.0000,20.0000
