#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: MHMAN02_01_2008
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20080101 TO 20081231
#LOCATION: Mandurah (Ocean Marina)
#Station Status:  Updated
#Lat: -32.521944  Long: 115.714167
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.682   m below Benchmark   MAN TIDAL 02   
#National Station ID:   NA
#Site Description: South west corner of Mandurah ocean marina.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00053,20080101.0000/
00052,20080101.0005/
00051,20080101.0010/
00050,20080101.0015/
00049,20080101.0020/
00049,20080101.0025/
00048,20080101.0030/
00048,20080101.0035/
00048,20080101.0040/
00047,20080101.0045/
00047,20080101.0050/
00047,20080101.0055/
00048,20080101.0100/
00047,20080101.0105/
00047,20080101.0110/
00047,20080101.0115/
00048,20080101.0120/
00048,20080101.0125/
00047,20080101.0130/
00045,20080101.0135/
00046,20080101.0140/
00047,20080101.0145/
00046,20080101.0150/
00046,20080101.0155/
00046,20080101.0200/
00045,20080101.0205/
00044,20080101.0210/
00044,20080101.0215/
00045,20080101.0220/
00045,20080101.0225/
00045,20080101.0230/
00045,20080101.0235/
00045,20080101.0240/
00045,20080101.0245/
00045,20080101.0250/
00045,20080101.0255/
00046,20080101.0300/
00046,20080101.0305/
00046,20080101.0310/
00045,20080101.0315/
00045,20080101.0320/
00046,20080101.0325/
00045,20080101.0330/
00044,20080101.0335/
00042,20080101.0340/
00041,20080101.0345/
00040,20080101.0350/
00040,20080101.0355/
00040,20080101.0400/
00038,20080101.0405/
00038,20080101.0410/
00038,20080101.0415/
00038,20080101.0420/
00037,20080101.0425/
00038,20080101.0430/
00039,20080101.0435/
00040,20080101.0440/
00041,20080101.0445/
00040,20080101.0450/
00038,20080101.0455/
00038,20080101.0500/
00038,20080101.0505/
00038,20080101.0510/
00039,20080101.0515/
00039,20080101.0520/
00038,20080101.0525/
00039,20080101.0530/
00039,20080101.0535/
00039,20080101.0540/
00038,20080101.0545/
00039,20080101.0550/
00039,20080101.0555/
00039,20080101.0600/
00039,20080101.0605/
00037,20080101.0610/
00036,20080101.0615/
00036,20080101.0620/
00036,20080101.0625/
00036,20080101.0630/
00037,20080101.0635/
00038,20080101.0640/
00037,20080101.0645/
00038,20080101.0650/
00039,20080101.0655/
00038,20080101.0700/
00038,20080101.0705/
00037,20080101.0710/
00039,20080101.0715/
