#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: MHMAN02_03_2018
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20180101 TO 20181231
#LOCATION: Mandurah (Ocean Marina)
#Station Status: Current
#Lat: -32.521944 Long: 115.714167
#Time Zone: Australian Western Standard Time
#Vertical Datum: Chart datum  which is  2.682 m below Benchmark MAN TIDAL 02
#National Station ID: NA
#Site Description: South west corner of Mandurah ocean marina.
#Tide Gauge Sensor: Guided Wire Microwave Radar Gauge in stilling well Ø355mm, orifice Ø12mm.Travel time measurement of return signal
#Sensor Details: VEGA, Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
   59,20180101.0000/
   58,20180101.0005/
   58,20180101.0010/
   57,20180101.0015/
   57,20180101.0020/
   56,20180101.0025/
   56,20180101.0030/
   55,20180101.0035/
   54,20180101.0040/
   53,20180101.0045/
   53,20180101.0050/
   52,20180101.0055/
   51,20180101.0100/
   51,20180101.0105/
   50,20180101.0110/
   49,20180101.0115/
   48,20180101.0120/
   48,20180101.0125/
   47,20180101.0130/
   47,20180101.0135/
   46,20180101.0140/
   46,20180101.0145/
   45,20180101.0150/
   44,20180101.0155/
   44,20180101.0200/
   43,20180101.0205/
   43,20180101.0210/
   43,20180101.0215/
   43,20180101.0220/
   42,20180101.0225/
   41,20180101.0230/
   41,20180101.0235/
   40,20180101.0240/
   39,20180101.0245/
   38,20180101.0250/
   37,20180101.0255/
   37,20180101.0300/
   36,20180101.0305/
   35,20180101.0310/
   33,20180101.0315/
   32,20180101.0320/
   32,20180101.0325/
   31,20180101.0330/
   31,20180101.0335/
   31,20180101.0340/
   30,20180101.0345/
   30,20180101.0350/
   29,20180101.0355/
   29,20180101.0400/
   29,20180101.0405/
   28,20180101.0410/
   28,20180101.0415/
   28,20180101.0420/
   28,20180101.0425/
   27,20180101.0430/
   27,20180101.0435/
