#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: MHMAN02_02_2013
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20130321 TO 20131231
#LOCATION: Mandurah (Ocean Marina)
#Station Status:  Current
#Lat: -32.521944  Long: 115.714167
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.682   m below Benchmark   MAN TIDAL 02   
#National Station ID:   NA
#Site Description: South west corner of Mandurah ocean marina.
#Tide Gauge Sensor:  Guided Wire Microwave Radar Gauge in stilling well Ø355mm, orifice Ø12mm.Travel time measurement of return signal
#Sensor Details: VEGA, Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
-9999,20130321.1100/
-9999,20130321.1105/
-9999,20130321.1110/
-9999,20130321.1115/
-9999,20130321.1120/
-9999,20130321.1125/
00066,20130321.1130/
00065,20130321.1135/
00065,20130321.1140/
00067,20130321.1145/
00066,20130321.1150/
00069,20130321.1155/
00067,20130321.1200/
00067,20130321.1205/
00067,20130321.1210/
00069,20130321.1215/
00068,20130321.1220/
00069,20130321.1225/
00068,20130321.1230/
00067,20130321.1235/
00066,20130321.1240/
00068,20130321.1245/
00070,20130321.1250/
00069,20130321.1255/
00068,20130321.1300/
00069,20130321.1305/
00071,20130321.1310/
00071,20130321.1315/
00070,20130321.1320/
00069,20130321.1325/
00070,20130321.1330/
00071,20130321.1335/
00070,20130321.1340/
00069,20130321.1345/
00068,20130321.1350/
00072,20130321.1355/
00071,20130321.1400/
00071,20130321.1405/
00072,20130321.1410/
00072,20130321.1415/
00072,20130321.1420/
00072,20130321.1425/
00073,20130321.1430/
00073,20130321.1435/
00072,20130321.1440/
00073,20130321.1445/
00073,20130321.1450/
00074,20130321.1455/
00073,20130321.1500/
00074,20130321.1505/
00075,20130321.1510/
00074,20130321.1515/
00074,20130321.1520/
00077,20130321.1525/
00077,20130321.1530/
00078,20130321.1535/
00077,20130321.1540/
00077,20130321.1545/
00077,20130321.1550/
00077,20130321.1555/
00078,20130321.1600/
00078,20130321.1605/
00077,20130321.1610/
00077,20130321.1615/
00077,20130321.1620/
00076,20130321.1625/
00075,20130321.1630/
00076,20130321.1635/
00077,20130321.1640/
00077,20130321.1645/
00076,20130321.1650/
00075,20130321.1655/
00077,20130321.1700/
00078,20130321.1705/
00077,20130321.1710/
00077,20130321.1715/
00077,20130321.1720/
00080,20130321.1725/
00079,20130321.1730/
00077,20130321.1735/
00075,20130321.1740/
